artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Akon;Vishal Dadlani;Shruti Pathak,Ra-One,Criminal,60.0,306503.0,False,0.701,0.966,0.0,-5.36,1.0,0.0568,0.063,0.0662,0.0761,0.834,132.015,4.0,dance
Pat Carroll;Disney,The Little Mermaid Special Edition,Poor Unfortunate Souls,63.0,291693.0,False,0.384,0.18,0.0,-17.279,1.0,0.101,0.77,0.0,0.367,0.368,73.603,4.0,disney
Tomo,Coffee Cups and Cigarettes,Coffee Cups and Cigarettes,61.0,207598.0,False,0.459,0.063,8.0,-14.446,1.0,0.0366,0.995,0.803,0.108,0.15,131.704,4.0,folk
Kid Francescoli;Julia Minkin,Play Me Again,Moon (And It Went Like),66.0,390638.0,False,0.662,0.657,7.0,-10.002,1.0,0.0345,0.288,0.856,0.102,0.0584,117.986,4.0,electronic
Broken Back,Away From Home,Away From Home,63.0,149072.0,False,0.698,0.871,2.0,-7.073,1.0,0.0469,0.221,0.0,0.298,0.79,98.003,4.0,french
Sidhu Moose Wala,Pbx 1,Dawood,63.0,197102.0,False,0.664,0.834,10.0,-3.761,0.0,0.0846,0.0326,0.0,0.273,0.47,86.025,4.0,hip-hop
Rammstein,Zeit,Zick Zack,72.0,244365.0,False,0.669,0.814,5.0,-5.375,0.0,0.0681,0.00118,0.00131,0.0737,0.398,130.014,4.0,industrial
flora cash,You're Somebody Else (Acoustic),You're Somebody Else - Acoustic,59.0,219029.0,False,0.379,0.247,1.0,-9.959,1.0,0.0399,0.932,3.6e-06,0.107,0.37,205.561,4.0,swedish
Zach Hood,never knew a heart could break itself,never knew a heart could break itself,66.0,155223.0,False,0.579,0.454,9.0,-7.264,1.0,0.0427,0.465,0.0,0.0997,0.461,78.949,4.0,singer-songwriter
6ix9ine,TattleTales,GOOBA,71.0,132303.0,True,0.611,0.688,1.0,-5.688,1.0,0.341,0.0264,0.0,0.251,0.393,178.462,4.0,emo
Eagles,Eagles (2013 Remaster),Take It Easy - 2013 Remaster,77.0,211577.0,False,0.575,0.67,7.0,-10.39,1.0,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4.0,country
Tom Odell,Best Day Of My Life,Best Day Of My Life,69.0,146895.0,True,0.683,0.187,10.0,-13.185,1.0,0.0347,0.983,0.00246,0.107,0.101,117.92,4.0,chill
The Pointer Sisters,So Excited! (Expanded Edition),I'm So Excited,72.0,230640.0,False,0.59,0.868,5.0,-5.832,0.0,0.048,0.0962,0.000322,0.442,0.798,184.348,4.0,disco
Becky Hill;Topic,Only Honest On The Weekend,My Heart Goes (La Di Da) (feat. Topic),72.0,148960.0,False,0.695,0.781,7.0,-5.578,0.0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04,4.0,edm
Desireless,François,Voyage voyage,70.0,266600.0,False,0.606,0.913,8.0,-6.039,0.0,0.0351,0.246,0.00696,0.34,0.838,123.58,4.0,disco
SOYOU,"Guardian (Original Television Soundtrack), Pt. 7",I Miss You,61.0,169448.0,False,0.482,0.344,5.0,-6.002,1.0,0.0318,0.901,0.0,0.129,0.211,133.499,4.0,k-pop
LE SSERAFIM,ANTIFRAGILE,ANTIFRAGILE,77.0,184444.0,False,0.882,0.797,10.0,-3.299,0.0,0.0819,0.0821,0.0,0.113,0.824,105.025,4.0,k-pop
Buddy Holly,That'll Be The Day,That'll Be The Day,62.0,150133.0,False,0.536,0.637,2.0,-7.774,1.0,0.0343,0.467,0.0,0.0838,0.798,115.24,4.0,rock-n-roll
Vance Joy,Dream Your Life Away (Special Edition),Fire and the Flood,66.0,249382.0,False,0.596,0.827,5.0,-4.402,1.0,0.0372,0.0242,0.0,0.0958,0.329,115.034,4.0,folk
Sainte,Local Mvp,Champagne Shots,71.0,144000.0,False,0.942,0.441,11.0,-11.448,1.0,0.469,0.493,0.0,0.138,0.925,135.028,4.0,chill
Icon For Hire,Scripted,Make A Move,60.0,183813.0,False,0.513,0.83,6.0,-4.71,0.0,0.0718,0.00181,0.0,0.0512,0.714,82.982,4.0,goth
J Balvin;Skrillex,In Da Getto,In Da Getto,75.0,131065.0,False,0.915,0.72,8.0,-3.126,1.0,0.0459,0.025,1.42e-05,0.0942,0.631,126.986,4.0,latin
George Ezra,Wanted on Voyage (Expanded Edition),Barcelona,67.0,188960.0,False,0.629,0.572,5.0,-9.332,1.0,0.0307,0.32,0.000853,0.109,0.182,93.997,4.0,folk
XXXTENTACION;Trippie Redd,17.0,Fuck Love (feat. Trippie Redd),83.0,146520.0,True,0.797,0.533,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.103,0.329,131.036,4.0,emo
Tegi Pannu;Manni Sandhu,Untouchable,Untouchable,69.0,153210.0,False,0.658,0.603,2.0,-6.552,0.0,0.0676,0.472,0.0,0.124,0.519,146.864,4.0,hip-hop
Ariana Grande;Nicki Minaj,Dangerous Woman,Side To Side,76.0,226160.0,True,0.65,0.736,6.0,-5.84,0.0,0.229,0.0513,0.0,0.235,0.612,159.174,4.0,dance
Daddy Yankee;Snow,Con Calma,Con Calma,79.0,193226.0,False,0.737,0.86,8.0,-2.652,0.0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4.0,latin
Akhil,Khaab,Khaab,72.0,201689.0,False,0.662,0.661,0.0,-5.689,1.0,0.0514,0.417,0.0,0.0784,0.222,80.009,4.0,hip-hop
Afroman,The Good Times,Crazy Rap (Colt 45 & 2 Zig Zags),74.0,328666.0,True,0.927,0.367,9.0,-7.797,1.0,0.382,0.325,0.0,0.132,0.576,99.053,4.0,comedy
Imagine Dragons,Night Visions,Radioactive,80.0,186813.0,False,0.448,0.784,9.0,-3.686,1.0,0.0627,0.106,0.000108,0.668,0.236,136.245,4.0,rock
Paolo Nutini,Through The Echoes / Lose It,Through The Echoes,65.0,221245.0,False,0.73,0.487,7.0,-7.679,1.0,0.0399,0.285,3.49e-05,0.135,0.314,104.933,4.0,british
Alicia Keys,Girl on Fire (Remixes) - EP,Girl on Fire,77.0,224920.0,False,0.482,0.706,9.0,-5.762,1.0,0.0607,0.135,0.00106,0.105,0.144,92.513,4.0,soul
Sidhu Moose Wala,Moosetape,Built Different,63.0,247578.0,False,0.739,0.706,6.0,-3.461,0.0,0.0487,0.141,0.0,0.299,0.784,94.965,4.0,hip-hop
Thomas Rhett,Tangled Up,Die A Happy Man,62.0,227426.0,False,0.595,0.389,2.0,-9.245,1.0,0.0349,0.418,1.39e-06,0.116,0.4,166.052,4.0,country
Joy Again,Looking Out for You,Looking Out for You,80.0,179499.0,False,0.682,0.9,9.0,-5.028,1.0,0.0874,0.0884,0.063,0.0685,0.937,100.721,4.0,garage
Eric Prydz;Empire of the Sun,Liberate (Remixes),We Are Mirage,62.0,379500.0,False,0.556,0.792,4.0,-6.723,0.0,0.0361,0.000521,0.75,0.494,0.0871,127.956,4.0,disco
Geto Boys,Uncut Dope,Damn It Feels Good to Be a Gangsta,61.0,310600.0,True,0.785,0.793,1.0,-7.915,1.0,0.163,0.22,0.718,0.124,0.655,88.902,4.0,hardcore
Rauw Alejandro;Chencho Corleone,VICE VERSA,Desesperados,83.0,224996.0,True,0.869,0.694,1.0,-3.35,0.0,0.0783,0.356,0.00125,0.0878,0.511,90.02,4.0,latino
Gary Moore,Still Got The Blues,Still Got The Blues,68.0,370866.0,False,0.189,0.39,9.0,-14.497,0.0,0.0353,0.257,0.000152,0.122,0.32,169.563,3.0,blues
Shaggy;Collie Buddz;Sizzla,Intoxication,Mad Mad World (feat. Sizzla Kalonji & Collie Buddz),64.0,231880.0,False,0.901,0.531,10.0,-5.365,1.0,0.0853,0.0768,0.0,0.101,0.563,100.016,4.0,reggae
flora cash,"Baby, It's Okay",You're Somebody Else,68.0,219013.0,False,0.706,0.46,1.0,-9.061,1.0,0.0296,0.847,0.00793,0.106,0.226,102.98,4.0,folk
The Rolling Stones,Let It Bleed,Gimme Shelter,77.0,270773.0,False,0.634,0.63,1.0,-8.277,0.0,0.031,0.447,0.039,0.17,0.489,118.628,4.0,british
BTS,FACE YOURSELF,Crystal Snow,65.0,323360.0,False,0.618,0.766,3.0,-4.507,1.0,0.0323,0.117,0.0,0.121,0.448,113.997,4.0,k-pop
Doja Cat;SZA,Planet Her,Kiss Me More (feat. SZA),81.0,208666.0,True,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,4.0,dance
Santhosh Narayanan;Pradeep Kumar;Dhee;Ananthu,Kaala (Tamil) (Original Motion Picture Soundtrack),Kannamma,62.0,289853.0,False,0.585,0.271,4.0,-12.56,0.0,0.0413,0.744,0.00137,0.168,0.438,124.895,3.0,pop-film
Boris Brejcha,Feuerfalter Part 02,Purple Noise,60.0,539520.0,False,0.88,0.477,0.0,-10.947,1.0,0.0732,0.00143,0.627,0.0922,0.209,125.017,4.0,german
Luciano;Aitch;BIA,Majestic,Bamba (feat. Aitch & BIA),75.0,203560.0,False,0.797,0.791,10.0,-6.281,1.0,0.33,0.119,0.0,0.113,0.828,138.026,4.0,german
Silverchair,Frogstomp (Deluxe Edition) [Remastered],Tomorrow,65.0,266280.0,False,0.292,0.714,2.0,-4.919,1.0,0.0316,0.000658,0.000109,0.102,0.462,151.412,3.0,grunge
Jethro Heston,My Love,My Love,61.0,156209.0,False,0.789,0.784,3.0,-4.623,0.0,0.0363,0.444,0.000114,0.257,0.567,126.014,4.0,deep-house
The Kingsmen,The Best of The Kingsmen,Louie Louie,65.0,165381.0,False,0.623,0.709,1.0,-9.818,0.0,0.0636,0.102,0.0,0.0967,0.948,122.394,4.0,garage
A.R. Rahman;Silambarasan TR;Rakshita Suresh,"Kaalathukkum Nee Venum (From ""Vendhu Thanindhathu Kaadu"")","Kaalathukkum Nee Venum - From ""Vendhu Thanindhathu Kaadu""",65.0,293546.0,False,0.718,0.458,7.0,-10.632,1.0,0.033,0.685,0.00222,0.118,0.567,119.958,4.0,pop-film
Sub Zero Project,Rave Into Space,Rave Into Space,60.0,247400.0,False,0.36,0.896,10.0,-4.2,0.0,0.0958,0.0185,0.000895,0.579,0.119,150.127,4.0,hardstyle
SiM,The Rumbling,The Rumbling,73.0,220799.0,False,0.459,0.878,5.0,-1.399,0.0,0.0688,5.62e-05,0.000307,0.371,0.494,144.852,4.0,j-rock
Roar,I Can't Handle Change,I Can't Handle Change,80.0,198213.0,False,0.247,0.438,5.0,-8.478,1.0,0.0358,0.0447,0.000867,0.111,0.39,185.711,3.0,indie-pop
Arctic Monkeys,AM,Fireside,69.0,181049.0,False,0.538,0.953,9.0,-5.611,0.0,0.056,0.0234,0.00126,0.113,0.74,100.033,4.0,garage
Manuel Carrasco,Hay Que Vivir El Momento,Hay Que Vivir El Momento,63.0,241367.0,False,0.557,0.844,8.0,-3.632,1.0,0.0886,0.019,0.0,0.315,0.657,101.051,4.0,spanish
Avicii;Rita Ora;Alan Walker,Lonely Together (Remixes),Lonely Together - (feat. Rita Ora) Alan Walker Remix,61.0,179760.0,False,0.637,0.791,5.0,-5.831,1.0,0.0469,0.29,0.0,0.229,0.43,103.051,4.0,edm
Mora;Jhayco,MICRODOSIS,MEMORIAS,85.0,228750.0,False,0.771,0.707,2.0,-6.404,0.0,0.055,0.389,0.0,0.0745,0.317,127.963,4.0,latino
One Direction,FOUR (Deluxe),Steal My Girl,80.0,228133.0,False,0.536,0.768,10.0,-5.948,0.0,0.0347,0.00433,0.0,0.114,0.545,77.217,4.0,pop
Bring Me The Horizon,Teardrops,Teardrops,61.0,215003.0,True,0.497,0.916,7.0,-3.323,1.0,0.108,0.000323,0.0,0.36,0.401,96.051,4.0,metal
ilyTOMMY,Forever,Forever,71.0,108695.0,False,0.613,0.339,5.0,-14.908,0.0,0.135,0.678,0.0,0.166,0.292,106.582,5.0,emo
Barren Gates,Devil,Devil,66.0,176000.0,False,0.507,0.864,6.0,-1.421,0.0,0.168,0.343,2.57e-05,0.0891,0.41,150.075,4.0,edm
Lucky Ali,Tamasha,Safarnama,63.0,251402.0,False,0.541,0.512,9.0,-10.203,1.0,0.0291,0.74,0.000528,0.162,0.203,120.036,4.0,pop-film
Sanam,Universally SANAM,Gulabi Aankhen,72.0,197759.0,False,0.636,0.647,0.0,-6.97,0.0,0.0436,0.422,0.0,0.251,0.44,105.914,4.0,pop
Bad Omens,THE DEATH OF PEACE OF MIND,Just Pretend,71.0,204676.0,False,0.449,0.831,5.0,-4.668,0.0,0.0835,0.00257,0.00119,0.0998,0.211,140.091,4.0,metalcore
The PropheC,Secrets,Secrets,60.0,192475.0,False,0.817,0.475,3.0,-5.627,0.0,0.0465,0.356,8.85e-06,0.26,0.736,121.05,4.0,hip-hop
NSG;LD,Roadblock,Roadblock,61.0,233293.0,True,0.877,0.75,1.0,-3.021,1.0,0.238,0.1,2.18e-05,0.123,0.823,104.035,4.0,dancehall
I Prevail,TRUE POWER,There’s Fear In Letting Go,65.0,234945.0,False,0.492,0.869,0.0,-6.403,1.0,0.0673,0.000879,0.00185,0.588,0.136,123.118,4.0,metalcore
back number,水平線,水平線,74.0,285396.0,False,0.419,0.75,10.0,-3.546,1.0,0.0316,0.011,0.0,0.159,0.436,145.867,4.0,j-pop
Massive Attack,Mezzanine,Teardrop,71.0,330773.0,False,0.615,0.419,11.0,-8.8,0.0,0.0395,0.0173,0.497,0.135,0.216,76.997,4.0,electronic
Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),Play with Fire (feat. Yacht Money),76.0,180690.0,False,0.573,0.539,2.0,-6.091,0.0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,4.0,alt-rock
Jay Chou,范特西,安靜,60.0,334240.0,False,0.507,0.402,10.0,-7.869,1.0,0.0279,0.613,8.85e-06,0.11,0.124,143.86,4.0,mandopop
Bleu Toucan,Origami,Hanoï café,60.0,194082.0,False,0.565,0.755,2.0,-7.402,0.0,0.0406,0.258,0.00976,0.219,0.499,172.01,4.0,french
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64.0,222146.0,False,0.705,0.347,2.0,-8.249,1.0,0.0301,0.674,0.0,0.12,0.36,80.057,4.0,acoustic
Sidhu Moose Wala;The PropheC,Sohne Lagde,Sohne Lagde,64.0,209453.0,False,0.589,0.716,2.0,-5.651,0.0,0.145,0.354,0.0,0.109,0.327,84.384,4.0,hip-hop
Anirudh Ravichander;Sunidhi Chauhan;Sanjana Kalmanje,"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")","Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",66.0,176345.0,False,0.821,0.69,1.0,-4.981,1.0,0.187,0.0202,0.00398,0.199,0.648,140.171,4.0,hip-hop
Devin Kennedy,Happy Yet,Loose Change,61.0,163500.0,False,0.825,0.42,11.0,-14.702,1.0,0.0516,0.326,0.0,0.151,0.781,119.953,4.0,chill
Welshly Arms,No Place Is Home,Legendary,66.0,232173.0,False,0.537,0.656,11.0,-5.863,0.0,0.0411,0.0458,2.54e-06,0.112,0.45,141.873,4.0,alt-rock
Harris Jayaraj;S. P. Balasubrahmanyam,7 Aum Arivu (Original Motion Picture Soundtrack),Yamma Yamma,61.0,366506.0,False,0.581,0.431,2.0,-10.364,1.0,0.0353,0.699,4.65e-05,0.134,0.446,88.809,4.0,pop-film
Saaj Bhatt,Halki Si Barsaat,Halki Si Barsaat,65.0,212560.0,False,0.591,0.606,8.0,-6.977,1.0,0.066,0.574,0.0,0.06,0.767,82.185,4.0,pop
Melendi,Lágrimas desordenadas,Lágrimas desordenadas,60.0,229308.0,False,0.641,0.937,9.0,-3.52,1.0,0.0735,0.238,0.0,0.108,0.653,160.1,4.0,spanish
Tom Walker,What a Time To Be Alive,Just You and I - Acoustic,63.0,198101.0,False,0.477,0.52,9.0,-7.582,1.0,0.395,0.679,4.34e-06,0.0978,0.383,171.895,4.0,folk
Amy Winehouse,Back To Black,Back To Black,73.0,240440.0,True,0.49,0.725,10.0,-3.304,1.0,0.0392,0.123,2.68e-05,0.0983,0.335,123.28,4.0,british
Cigarettes After Sex,Affection,Keep on Loving You,65.0,233010.0,False,0.456,0.364,2.0,-9.336,0.0,0.0252,0.533,0.96,0.111,0.116,73.457,4.0,ambient
Joy Williams,Front Porch,Front Porch,64.0,231813.0,False,0.567,0.224,1.0,-10.024,1.0,0.0299,0.887,0.0,0.109,0.2,124.44,4.0,acoustic
Mia Pandosa,Within the Light (Ambient Version),Within the Light,61.0,149765.0,False,0.0881,0.00356,5.0,-33.389,1.0,0.0435,0.985,0.964,0.149,0.0514,78.987,1.0,sleep
KSW;Neeraj Shridhar;Pritam,Tum Mile (Lofi Flip),Tum Mile - Lofi Flip,65.0,242103.0,False,0.711,0.579,0.0,-11.059,1.0,0.0363,0.218,0.053,0.32,0.21,114.96,4.0,indian
6ix9ine,Day69: Graduation Day,BILLY,67.0,112666.0,True,0.764,0.711,4.0,-3.818,0.0,0.288,0.175,0.0,0.105,0.774,90.076,4.0,emo
KC & The Sunshine Band,Do You Wanna Go Party,Please Don't Go,71.0,230440.0,False,0.445,0.75,6.0,-7.159,1.0,0.035,0.00805,0.0,0.0358,0.466,95.957,4.0,disco
Van Halen,Van Halen (Remastered),Ain't Talkin' 'Bout Love - 2015 Remaster,68.0,227800.0,False,0.518,0.938,8.0,-5.964,0.0,0.0416,0.021,0.000305,0.288,0.71,139.138,4.0,hard-rock
DJ Snake;J Balvin;Tyga,Carte Blanche,Loco Contigo (feat. J. Balvin & Tyga),74.0,185194.0,False,0.694,0.758,11.0,-2.986,1.0,0.218,0.278,1.34e-06,0.102,0.371,192.091,4.0,edm
BTS,MAP OF THE SOUL : 7,00:00 (Zero O’Clock),72.0,250295.0,False,0.56,0.547,1.0,-6.456,1.0,0.0675,0.0806,0.0,0.11,0.199,157.962,4.0,k-pop
Amy Winehouse,Back To Black (Deluxe Edition),"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",75.0,233733.0,False,0.772,0.371,5.0,-5.743,0.0,0.0348,0.744,0.0,0.167,0.684,96.574,4.0,british
Electric Youth;College,Innerworld (Deluxe Edition),A Real Hero,59.0,267693.0,False,0.705,0.443,10.0,-8.422,1.0,0.0349,0.744,0.556,0.163,0.376,112.001,4.0,synth-pop
Ava Max,Heaven & Hell,My Head & My Heart,78.0,174760.0,False,0.614,0.934,9.0,-3.709,0.0,0.07,0.0697,0.0,0.121,0.436,116.001,4.0,dance
Diljit Dosanjh,G.O.A.T.,Clash,60.0,176385.0,False,0.693,0.593,9.0,-8.506,0.0,0.217,0.0187,1.09e-06,0.407,0.688,165.924,4.0,pop-film
TAEYEON,INVU - The 3rd Album,INVU,72.0,204973.0,False,0.599,0.816,11.0,-3.412,0.0,0.0556,0.0911,2.17e-06,0.0961,0.399,106.962,4.0,k-pop
j-hope,MORE,MORE,77.0,180022.0,False,0.783,0.722,2.0,-4.864,1.0,0.0357,0.00537,0.00209,0.105,0.306,97.031,4.0,k-pop
THE ORAL CIGARETTES,FIXION,Kyouran Hey Kids!!,69.0,250973.0,False,0.526,0.981,8.0,-1.82,1.0,0.111,0.00318,0.00161,0.187,0.781,142.016,4.0,anime
Arijit Singh,Raaz Reboot,Lo Maan Liya,60.0,300274.0,False,0.568,0.55,11.0,-6.172,0.0,0.0262,0.728,3.62e-05,0.251,0.436,110.079,4.0,pop-film
J. Worra;Leo Stannard,Check Out,Check Out,70.0,174138.0,False,0.814,0.675,10.0,-6.761,0.0,0.042,0.00577,0.0818,0.0956,0.776,125.0,4.0,deep-house
Marc Seguí;Pol Granch,Tiroteo,Tiroteo,69.0,266290.0,False,0.747,0.605,9.0,-6.633,1.0,0.0269,0.0548,3.55e-06,0.0794,0.564,110.402,4.0,spanish
Joe Cocker,I Can Stand A Little Rain,You Are So Beautiful,67.0,159640.0,False,0.297,0.182,1.0,-10.944,1.0,0.0298,0.846,0.00267,0.134,0.092,83.391,3.0,blues
Trevor Daniel,Nicotine,Falling,79.0,159381.0,False,0.785,0.431,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.085,4.0,pop
Pearl Jam,Vs.,Elderly Woman Behind the Counter in a Small Town - Remastered,65.0,196186.0,False,0.281,0.493,7.0,-9.461,1.0,0.0284,0.0519,9.15e-06,0.101,0.167,60.772,4.0,grunge
Aitana;Alejandro Sanz;Antonio José;Antonio Orozco;Pablo López;Alejandro Lerner;Alessia Cara;Alex Ubago;Ana Mena;Andrés Calamaro;Andrés Dvicio;Brian May;Camilo;Carlos Rivera;David Bisbal;Draco;Dulce Pontes;Fher;India Martinez;Joy;Juanes;Lali;Laura Pausini;Leire Martinez;Macaco;Malú;Manolo Garcia;Manuel Carrasco;Mau y Ricky;Melendi;Miguel Ríos;Mikel Izal;NATHY PELUSO;Pablo Alborán;Rosario;Rozalén;Sebastian Yatra;Vanesa Martín,Himno A La Alegría,Himno A La Alegría,66.0,307473.0,False,0.304,0.328,2.0,-10.311,1.0,0.0351,0.56,0.0,0.116,0.243,119.675,4.0,spanish
Billy Ocean,Billy Ocean (Expanded Edition),Love Really Hurts Without You,70.0,179013.0,False,0.518,0.907,5.0,-3.732,1.0,0.0343,0.00221,1.15e-05,0.0838,0.961,140.982,4.0,disco
Alesso;Katy Perry,When I’m Gone (with Katy Perry),When I’m Gone (with Katy Perry),80.0,161266.0,False,0.685,0.886,0.0,-4.179,1.0,0.034,0.028,0.0,0.481,0.615,125.034,4.0,edm
SawanoHiroyuki[nZk];mizuki,Avid,Avid,61.0,250293.0,False,0.468,0.753,4.0,-4.329,0.0,0.031,0.179,5.65e-06,0.148,0.18,155.929,4.0,anime
Bruno Mars;Anderson .Paak;Silk Sonic,An Evening With Silk Sonic,Leave The Door Open,84.0,242096.0,False,0.586,0.616,5.0,-7.964,1.0,0.0324,0.182,0.0,0.0927,0.719,148.088,4.0,dance
The Shirelles,Remember When,Will You Love Me Tomorrow,64.0,160864.0,False,0.527,0.308,0.0,-11.809,1.0,0.0284,0.551,4.25e-05,0.0921,0.514,136.297,4.0,rock-n-roll
Pritam;Amit Mishra;Shilpa Rao,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Bulleya,62.0,348965.0,False,0.552,0.769,2.0,-4.504,0.0,0.0465,0.497,0.0,0.112,0.702,86.957,4.0,indian
Hasan Raheem;Abdullah Kasumbi,Aisay Kaisay,Aisay Kaisay,63.0,198857.0,False,0.577,0.428,0.0,-9.066,1.0,0.0302,0.467,2.61e-05,0.272,0.401,104.938,4.0,indie-pop
Arijit Singh;Palak Muchhal;Jeet Gannguli,Rustom (Original Motion Picture Soundtrack),Dekha Hazaro Dafaa,65.0,207751.0,False,0.411,0.277,7.0,-8.844,1.0,0.0305,0.903,0.0,0.209,0.345,143.768,3.0,pop-film
Dani Fernández,Entre las dudas y el azar,Dile a los demás,59.0,209925.0,False,0.743,0.895,10.0,-4.617,0.0,0.0357,0.00615,1.83e-06,0.0551,0.945,139.953,4.0,spanish
Lady A,Need You Now,Need You Now,71.0,277573.0,False,0.587,0.622,4.0,-5.535,1.0,0.0303,0.0927,0.000636,0.2,0.231,107.943,4.0,country
Norris Melcher,Cloud Study,Cloud Study,62.0,190000.0,False,0.19,0.0959,2.0,-26.159,1.0,0.0446,0.949,0.976,0.102,0.0464,79.531,3.0,sleep
Boney M.,Love For Sale,Ma Baker,65.0,276080.0,False,0.746,0.76,2.0,-6.009,0.0,0.105,0.0342,2.18e-05,0.31,0.902,128.976,4.0,disco
Amy Winehouse,Back To Black (Deluxe Edition),Wake Up Alone,62.0,222000.0,False,0.583,0.271,11.0,-15.866,0.0,0.0299,0.545,0.0,0.148,0.235,102.678,3.0,british
Tracy Chapman,Tracy Chapman,Baby Can I Hold You,74.0,193120.0,False,0.692,0.422,2.0,-10.533,1.0,0.0333,0.0811,0.0,0.0848,0.468,74.375,4.0,folk
Rammstein,Rammstein,Puppe,67.0,273706.0,False,0.581,0.822,11.0,-7.341,1.0,0.0574,0.0229,0.0,0.126,0.3,116.929,4.0,industrial
Eve,Bunka,Dramaturgy,67.0,238181.0,False,0.592,0.9,3.0,-1.73,0.0,0.0741,0.0192,0.0,0.172,0.706,149.018,4.0,anime
Linkin Park,LIVING THINGS,POWERLESS,60.0,224466.0,False,0.508,0.88,5.0,-6.441,0.0,0.0448,0.0621,9.43e-05,0.15,0.337,140.065,1.0,alternative
"Crosby, Stills, Nash & Young",Deja Vu,Teach Your Children,64.0,173466.0,False,0.497,0.285,2.0,-14.537,1.0,0.0264,0.643,1.69e-05,0.389,0.667,154.707,4.0,blues
Iron Maiden,Piece of Mind (2015 Remaster),Flight of Icarus - 2015 Remaster,61.0,230760.0,False,0.368,0.917,6.0,-4.829,0.0,0.0772,0.147,0.000121,0.169,0.343,110.455,4.0,hard-rock
Bring Me The Horizon,amo,MANTRA,64.0,233128.0,True,0.5,0.817,0.0,-3.501,1.0,0.0459,0.00054,0.0,0.152,0.599,90.01,4.0,metalcore
Adele,25.0,All I Ask,74.0,271800.0,False,0.591,0.28,4.0,-5.494,1.0,0.0283,0.889,0.0,0.124,0.348,141.916,4.0,british
Radiohead,OK Computer,No Surprises,82.0,229120.0,False,0.255,0.393,5.0,-10.654,1.0,0.0278,0.0577,0.00361,0.113,0.118,76.426,4.0,alt-rock
blink-182,NINE,I Really Wish I Hated You,64.0,191066.0,False,0.615,0.81,1.0,-6.137,0.0,0.0506,0.0358,0.0,0.289,0.728,143.054,4.0,punk-rock
Atreyu,In Our Wake,The Time Is Now,61.0,199959.0,False,0.481,0.944,8.0,-3.665,1.0,0.231,0.00926,0.000328,0.278,0.396,165.02,4.0,metalcore
Cynthia Erivo,Stand Up (From Harriet),Stand Up (From Harriet),70.0,303477.0,False,0.616,0.32,0.0,-10.194,1.0,0.0311,0.268,0.0,0.11,0.177,80.02,4.0,soul
Stray Kids,MAXIDENT,Give Me Your TMI,74.0,198173.0,False,0.749,0.862,11.0,-3.494,0.0,0.136,0.0513,0.0,0.0944,0.824,97.982,4.0,k-pop
Imran Khan,Bewafa,Bewafa,71.0,224853.0,False,0.704,0.563,4.0,-4.739,0.0,0.0297,0.594,0.0,0.133,0.0739,94.037,4.0,hip-hop
ATB,Movin' Melodies,9Pm (Till I Come),64.0,193880.0,False,0.672,0.941,9.0,-6.427,0.0,0.0494,0.0276,0.926,0.149,0.754,130.218,4.0,techno
Ice Nine Kills;Jacoby Shaddix,Welcome To Horrorwood: The Silver Scream 2,Hip To Be Scared [Feat. Jacoby Shaddix],64.0,203560.0,True,0.276,0.862,1.0,-5.352,0.0,0.255,0.00147,0.0,0.174,0.526,182.115,3.0,metalcore
Chubby Checker,Dancin' Party: The Chubby Checker Collection (1960-1966),The Twist,62.0,155040.0,False,0.571,0.618,4.0,-5.682,1.0,0.0371,0.18,2.69e-06,0.178,0.852,156.892,4.0,rock-n-roll
Jesse Barrera;Jeremy Passion,Constant,Constant,62.0,190348.0,False,0.668,0.427,9.0,-8.74,1.0,0.0271,0.492,1.44e-05,0.201,0.604,87.031,4.0,chill
Survive Said The Prophet,MUKANJYO,MUKANJYO,64.0,192400.0,False,0.468,0.961,7.0,-4.082,1.0,0.114,0.00364,0.0,0.226,0.31,94.926,4.0,alt-rock
BIBI,Animal Farm,Animal Farm,69.0,203945.0,False,0.617,0.57,5.0,-4.28,0.0,0.0308,0.0178,5.92e-06,0.55,0.375,107.971,3.0,k-pop
OneRepublic,Native,I Lived,70.0,234546.0,False,0.599,0.854,9.0,-5.429,1.0,0.0436,0.0746,0.0,0.278,0.311,119.986,4.0,piano
